Bordeaux;Paris;Train;236;1.66;197
Bordeaux;Strasbourg;Train;389;2.99;324
Bordeaux;Lille;Train;323;2.33;269
Bordeaux;Brest;Train;260;1.89;217
Paris;Strasbourg;Train;196;1.34;164
Paris;Lille;Train;90;0.67;76
Paris;Brest;Train;236;1.83;197
Strasbourg;Lille;Train;200;1.99;167
Strasbourg;Brest;Train;428;3.17;357
Lille;Brest;Train;304;2.53;254
Bordeaux;Paris;Bus;88;71.2;393
Bordeaux;Strasbourg;Bus;146;118;648
Bordeaux;Lille;Bus;121;97.3;538
Bordeaux;Brest;Bus;98;78.3;433
Paris;Strasbourg;Bus;74;59.4;327
Paris;Lille;Bus;33;27.5;147
Paris;Brest;Bus;90;71.9;400
Strasbourg;Lille;Bus;75;69.3;333
Strasbourg;Brest;Bus;158;130;700
Lille;Brest;Bus;105;92.9;467
Bordeaux;Paris;Avion;413;112;44
Bordeaux;Strasbourg;Avion;680;170;73
Paris;Strasbourg;Avion;343;89.2;37
